Year,Month,Gender,LNC_by_Age,Value_Legal_Name_Change
2001,January,M,0-4,11
2001,January,M,9-May,11
2001,January,M,14-Oct,10
2001,January,M,15-19,14
2001,January,M,20-24,9
2001,January,M,25-29,7
2001,January,M,30-34,5
2001,January,M,35-39,3
2001,January,M,40-44,6
2001,January,M,45-49,5
2001,January,M,50-54,2
2001,January,M,55-59,0
2001,January,M,60-64,4
2001,January,M,65-69,1
2001,January,M,70-74,0
2001,January,M,75+,0
2001,January,M,Total,88
2001,January,F,0-4,13
2001,January,F,9-May,19
2001,January,F,14-Oct,13
2001,January,F,15-19,17
2001,January,F,20-24,7
2001,January,F,25-29,9
2001,January,F,30-34,8
2001,January,F,35-39,8
2001,January,F,40-44,5
2001,January,F,45-49,6
2001,January,F,50-54,3
2001,January,F,55-59,1
2001,January,F,60-64,2
2001,January,F,65-69,1
2001,January,F,70-74,0
2001,January,F,75+,0
2001,January,F,Total,112
2001,January,T,0-4,24
2001,January,T,9-May,30
2001,January,T,14-Oct,23
2001,January,T,15-19,31
2001,January,T,20-24,16
2001,January,T,25-29,16
2001,January,T,30-34,13
2001,January,T,35-39,11
2001,January,T,40-44,11
2001,January,T,45-49,11
2001,January,T,50-54,5
2001,January,T,55-59,1
2001,January,T,60-64,6
2001,January,T,65-69,2
2001,January,T,70-74,0
2001,January,T,75+,0
2001,January,T,Total,200
2001,February,M,0-4,19
2001,February,M,9-May,12
2001,February,M,14-Oct,10
2001,February,M,15-19,17
2001,February,M,20-24,12
2001,February,M,25-29,11
2001,February,M,30-34,7
2001,February,M,35-39,7
2001,February,M,40-44,10
2001,February,M,45-49,4
2001,February,M,50-54,3
2001,February,M,55-59,3
2001,February,M,60-64,4
2001,February,M,65-69,0
2001,February,M,70-74,0
2001,February,M,75+,1
2001,February,M,Total,120
2001,February,F,0-4,19
2001,February,F,9-May,13
2001,February,F,14-Oct,14
2001,February,F,15-19,14
2001,February,F,20-24,14
2001,February,F,25-29,10
2001,February,F,30-34,7
2001,February,F,35-39,7
2001,February,F,40-44,8
2001,February,F,45-49,6
2001,February,F,50-54,5
2001,February,F,55-59,1
2001,February,F,60-64,2
2001,February,F,65-69,0
2001,February,F,70-74,0
2001,February,F,75+,1
2001,February,F,Total,121
2001,February,T,0-4,38
2001,February,T,9-May,25
2001,February,T,14-Oct,24
2001,February,T,15-19,31
2001,February,T,20-24,26
2001,February,T,25-29,21
2001,February,T,30-34,14
2001,February,T,35-39,14
2001,February,T,40-44,18
2001,February,T,45-49,10
2001,February,T,50-54,8
2001,February,T,55-59,4
2001,February,T,60-64,6
2001,February,T,65-69,0
2001,February,T,70-74,0
2001,February,T,75+,2
2001,February,T,Total,241
2001,March,M,0-4,12
2001,March,M,9-May,5
2001,March,M,14-Oct,5
2001,March,M,15-19,8
2001,March,M,20-24,6
2001,March,M,25-29,11
2001,March,M,30-34,5
2001,March,M,35-39,5
2001,March,M,40-44,6
2001,March,M,45-49,2
2001,March,M,50-54,0
2001,March,M,55-59,1
2001,March,M,60-64,1
2001,March,M,65-69,0
2001,March,M,70-74,0
2001,March,M,75+,0
2001,March,M,Total,67
2001,March,F,0-4,12
2001,March,F,9-May,8
2001,March,F,14-Oct,8
2001,March,F,15-19,7
2001,March,F,20-24,5
2001,March,F,25-29,9
2001,March,F,30-34,9
2001,March,F,35-39,2
2001,March,F,40-44,4
2001,March,F,45-49,1
2001,March,F,50-54,2
2001,March,F,55-59,1
2001,March,F,60-64,1
2001,March,F,65-69,0
2001,March,F,70-74,0
2001,March,F,75+,0
2001,March,F,Total,69
2001,March,T,0-4,24
2001,March,T,9-May,13
2001,March,T,14-Oct,13
2001,March,T,15-19,15
2001,March,T,20-24,11
2001,March,T,25-29,20
2001,March,T,30-34,14
2001,March,T,35-39,7
2001,March,T,40-44,10
2001,March,T,45-49,3
2001,March,T,50-54,2
2001,March,T,55-59,2
2001,March,T,60-64,2
2001,March,T,65-69,0
2001,March,T,70-74,0
2001,March,T,75+,0
2001,March,T,Total,136
2001,April,M,0-4,23
2001,April,M,9-May,16
2001,April,M,14-Oct,16
2001,April,M,15-19,18
2001,April,M,20-24,12
2001,April,M,25-29,18
2001,April,M,30-34,12
2001,April,M,35-39,9
2001,April,M,40-44,4
2001,April,M,45-49,6
2001,April,M,50-54,6
2001,April,M,55-59,4
2001,April,M,60-64,3
2001,April,M,65-69,0
2001,April,M,70-74,0
2001,April,M,75+,0
2001,April,M,Total,147
2001,April,F,0-4,32
2001,April,F,9-May,16
2001,April,F,14-Oct,12
2001,April,F,15-19,22
2001,April,F,20-24,8
2001,April,F,25-29,13
2001,April,F,30-34,7
2001,April,F,35-39,9
2001,April,F,40-44,10
2001,April,F,45-49,8
2001,April,F,50-54,5
2001,April,F,55-59,1
2001,April,F,60-64,2
2001,April,F,65-69,1
2001,April,F,70-74,0
2001,April,F,75+,1
2001,April,F,Total,147
2001,April,T,0-4,55
2001,April,T,9-May,32
2001,April,T,14-Oct,28
2001,April,T,15-19,40
2001,April,T,20-24,20
2001,April,T,25-29,31
2001,April,T,30-34,19
2001,April,T,35-39,18
2001,April,T,40-44,14
2001,April,T,45-49,14
2001,April,T,50-54,11
2001,April,T,55-59,5
2001,April,T,60-64,5
2001,April,T,65-69,1
2001,April,T,70-74,0
2001,April,T,75+,1
2001,April,T,Total,294
2001,May,M,0-4,16
2001,May,M,9-May,18
2001,May,M,14-Oct,18
2001,May,M,15-19,14
2001,May,M,20-24,17
2001,May,M,25-29,7
2001,May,M,30-34,14
2001,May,M,35-39,12
2001,May,M,40-44,6
2001,May,M,45-49,6
2001,May,M,50-54,7
2001,May,M,55-59,2
2001,May,M,60-64,0
2001,May,M,65-69,0
2001,May,M,70-74,0
2001,May,M,75+,0
2001,May,M,Total,137
2001,May,F,0-4,17
2001,May,F,9-May,12
2001,May,F,14-Oct,9
2001,May,F,15-19,14
2001,May,F,20-24,8
2001,May,F,25-29,8
2001,May,F,30-34,8
2001,May,F,35-39,10
2001,May,F,40-44,9
2001,May,F,45-49,3
2001,May,F,50-54,6
2001,May,F,55-59,1
2001,May,F,60-64,0
2001,May,F,65-69,2
2001,May,F,70-74,1
2001,May,F,75+,0
2001,May,F,Total,108
2001,May,T,0-4,33
2001,May,T,9-May,30
